ID_Joueur,Nom,Prénom,Date_Naissance,Num_Licence,Date_Adhésion,Pied_Dominant,Position,Taille,Poids,IMC,Catégorie,Aspect_Général
664,Richardson,Tony,2003-09-09,vZ1349,2022-11-25,Droit,Milieu,182.5,88.5,26.6,Senior,4.9
66,Garza,Tara,1994-01-21,kj8245,2023-06-13,Droit,Attaquant,187.0,80.5,23.0,Senior,4.7
77,Sullivan,Jamie,1997-08-13,Iq3702,2025-02-09,Gauche,Défenseur,193.9,76.2,20.3,Senior,4.6
658,Mendez,Thomas,2006-03-29,OG6868,2021-07-22,Gauche,Gardien,175.1,73.4,23.9,Junior,4.7
89,Ayala,Megan,1993-09-24,Mz7278,2025-01-19,Gauche,Attaquant,192.7,78.8,21.2,Senior,2.6
897,Nielsen,Mary,1994-07-10,Mb0263,2020-12-13,Gauche,Attaquant,182.3,70.6,21.2,Senior,3.9
726,Estes,Elizabeth,1997-03-16,zl9759,2021-07-14,Ambidextre,Milieu,186.8,77.9,22.3,Senior,1.3
849,Wilson,Dennis,2004-11-09,tW7949,2020-11-30,Gauche,Milieu,175.6,72.9,23.6,Senior,2.0
30,Hart,Paul,2006-09-13,HG0196,2022-11-02,Gauche,Attaquant,185.5,83.6,24.3,Senior,3.7
809,Mayer,Latoya,1996-02-16,oJ3601,2021-07-29,Ambidextre,Attaquant,191.4,81.4,22.2,Senior,3.9
489,Rogers,Michelle,2010-06-09,LI9441,2023-10-21,Gauche,Gardien,160.9,57.2,22.1,Minime A,2.5
886,Stanley,Tina,2005-08-09,uA8972,2023-10-22,Gauche,Gardien,187.5,74.3,21.1,Elite,3.0
491,Santos,Thomas,2005-11-15,Lo8518,2022-11-07,Droit,Milieu,180.7,84.1,25.8,Elite,4.0
697,Gray,Stephanie,2007-06-10,AQ7045,2024-06-18,Ambidextre,Gardien,177.2,73.3,23.3,Junior,2.6
567,Kennedy,Anna,2009-07-05,Dl6112,2022-04-07,Gauche,Gardien,169.5,62.7,21.8,Minime A,1.6
786,Wilkinson,Jessica,2006-06-01,bS8253,2024-10-09,Ambidextre,Gardien,185.7,70.0,20.3,Junior,3.0
428,Sherman,Cassidy,2006-10-12,Pt9739,2022-07-23,Droit,Attaquant,173.8,70.2,23.2,Elite,1.3
188,Cox,Beverly,2011-01-25,bb0200,2024-11-20,Gauche,Attaquant,159.0,56.0,22.2,Minime A,4.3
286,French,Carol,2010-09-24,yH6152,2023-03-08,Gauche,Défenseur,167.7,50.1,17.8,Minime A,2.6
628,Martinez,Jennifer,2010-03-02,jm0432,2020-12-24,Droit,Milieu,164.3,60.5,22.4,Minime A,2.9
774,Goodwin,Jill,2004-07-15,Aa7569,2021-09-21,Gauche,Attaquant,194.9,87.2,23.0,Elite,4.0
843,Kelly,Elizabeth,2011-01-18,cd3787,2021-10-07,Gauche,Gardien,165.3,48.9,17.9,Minime B,5.0
313,Estrada,William,2009-06-04,Hq0466,2022-07-16,Ambidextre,Défenseur,171.2,64.3,21.9,Minime A,2.8
213,Hawkins,Bryan,2009-07-30,xl2140,2024-11-26,Droit,Gardien,163.0,68.0,25.6,Cadet B,4.6
311,Miller,Carrie,2004-09-15,mt7404,2023-11-04,Ambidextre,Attaquant,175.6,70.7,22.9,Elite,2.6
968,Berg,Kimberly,2006-03-18,yi5308,2025-01-07,Ambidextre,Défenseur,177.5,75.9,24.1,Elite,1.2
249,Martinez,Vanessa,2008-05-11,Wu6260,2024-07-21,Ambidextre,Défenseur,174.1,55.1,18.2,Junior,1.8
588,Krueger,Jonathan,2010-02-22,hR3940,2023-01-30,Droit,Attaquant,156.2,52.5,21.5,Minime A,4.6
168,Austin,Lorraine,2010-08-07,dL2831,2023-09-08,Droit,Gardien,166.7,62.2,22.4,Minime B,2.5
610,White,Lisa,2008-07-04,PL6452,2023-09-04,Gauche,Gardien,162.1,71.7,27.3,Cadet B,1.7
145,Scott,James,2009-04-15,Nj0521,2021-07-31,Droit,Attaquant,167.0,65.6,23.5,Minime A,2.8
204,Lawrence,Patricia,2006-10-19,Ji8245,2023-09-18,Gauche,Milieu,178.3,73.6,23.2,Elite,1.5
654,Barnes,Aaron,2010-06-06,ft2450,2021-12-08,Ambidextre,Attaquant,168.2,57.0,20.1,Minime A,1.5
893,Jackson,Ryan,2006-09-11,de4096,2022-08-15,Gauche,Milieu,175.1,65.8,21.5,Junior,1.6
236,Perry,Jonathan,2010-12-01,AG1538,2021-05-12,Gauche,Milieu,161.6,52.9,20.3,Minime A,2.1
917,Hebert,Steven,2009-06-27,Al3374,2022-10-16,Droit,Défenseur,157.5,60.7,24.5,Minime A,2.2
617,Mcgrath,Jonathan,2008-10-21,nG4571,2021-03-27,Gauche,Gardien,169.2,66.7,23.3,Cadet A,2.3
509,Ray,Cheryl,2007-05-21,CN7178,2022-12-23,Droit,Milieu,182.8,73.6,22.0,Junior,1.0
354,James,Kevin,2008-02-07,UN1142,2023-04-20,Gauche,Attaquant,173.4,78.5,26.1,Junior,1.2
79,Morales,Amanda,2010-12-29,kC2005,2021-09-26,Ambidextre,Défenseur,153.3,53.5,22.8,Minime A,4.9
582,Roberts,Joshua,2008-08-03,sa3912,2022-01-27,Gauche,Défenseur,176.9,64.2,20.5,Cadet B,2.4
316,Glenn,Chad,2010-10-10,bz5644,2022-11-12,Droit,Milieu,167.1,62.5,22.4,Minime A,4.8
205,Adams,Shelley,2007-04-28,XF3144,2020-08-15,Gauche,Milieu,166.4,76.4,27.6,Junior,4.4
565,Carroll,Nicole,2010-01-31,Mc2540,2020-11-02,Gauche,Attaquant,166.6,68.6,24.7,Minime A,4.7
723,Green,Raymond,2009-09-15,Qv9461,2023-10-22,Droit,Défenseur,160.2,61.1,23.8,Cadet B,1.5
301,Foster,Michael,2008-12-18,ks1359,2022-10-15,Droit,Défenseur,167.1,71.0,25.4,Junior,4.5
689,Diaz,Stephanie,2008-12-17,zc5831,2023-04-29,Gauche,Défenseur,165.4,71.6,26.2,Cadet B,1.4
767,Holland,Emily,2006-04-04,ij5448,2021-05-09,Gauche,Défenseur,184.2,81.0,23.9,Junior,4.9
409,Jackson,Colleen,2010-12-18,kx8483,2023-08-10,Ambidextre,Attaquant,150.2,58.0,25.7,Minime B,1.6
829,Barnett,Amanda,2008-01-30,tJ3456,2023-06-03,Gauche,Gardien,165.8,65.1,23.7,Cadet A,3.1
449,Craig,Shawn,2009-09-28,vx6015,2022-07-13,Gauche,Attaquant,163.1,54.5,20.5,Cadet B,2.8
219,Arnold,Elizabeth,2007-01-15,vX0503,2021-08-15,Ambidextre,Défenseur,173.6,82.8,27.5,Junior,1.1
260,Young,Gary,2009-10-08,bs9783,2025-02-14,Ambidextre,Attaquant,168.1,68.8,24.3,Minime A,2.0
982,Higgins,Rebecca,2011-01-11,bv7015,2024-04-28,Gauche,Défenseur,158.5,46.1,18.4,Minime B,4.2
432,Gutierrez,Benjamin,2007-07-01,Ry7689,2021-10-26,Gauche,Défenseur,171.6,62.6,21.3,Junior,3.1
42,Wagner,Angela,2007-08-20,YI6451,2024-04-29,Gauche,Milieu,183.6,69.6,20.6,Elite,3.4
587,Cooper,Sara,2010-08-28,Va9988,2020-05-19,Gauche,Milieu,153.4,60.1,25.5,Minime B,4.2
297,Carlson,Steven,2008-01-16,Ds4029,2023-06-07,Ambidextre,Défenseur,175.8,74.0,23.9,Elite,1.8
669,Watson,Christopher,2005-09-08,VI4411,2022-11-25,Gauche,Milieu,181.0,88.1,26.9,Elite,3.8
578,Clark,Timothy,2004-07-10,ie2344,2022-01-15,Gauche,Milieu,185.0,82.5,24.1,Elite,3.1
810,Roman,Clayton,2005-05-21,rF9090,2022-11-05,Droit,Milieu,179.5,76.9,23.9,Elite,1.5
550,Potter,Joseph,2010-04-26,Pj0329,2022-10-14,Gauche,Défenseur,163.4,52.5,19.7,Minime A,2.1
275,Vance,Robert,2011-03-06,Lv1505,2024-12-08,Ambidextre,Milieu,155.6,51.4,21.2,Minime B,3.4
104,May,Emily,2009-10-24,bn4160,2022-11-08,Droit,Milieu,158.0,56.5,22.6,Minime A,5.0
472,Schmidt,Paul,2009-11-24,Uw5245,2025-02-25,Ambidextre,Attaquant,168.7,51.1,18.0,Minime A,3.7
862,Reynolds,Debra,2010-06-06,YH5367,2024-05-06,Ambidextre,Attaquant,166.1,45.4,16.5,Minime B,3.7
668,Bates,Travis,2008-05-15,kE0701,2025-01-21,Droit,Milieu,160.9,70.2,27.1,Cadet B,3.1
162,Porter,David,2004-05-11,ho6687,2023-03-12,Droit,Milieu,179.0,82.9,25.9,Elite,4.6
621,Coleman,Brandon,2006-12-02,RO6396,2023-05-14,Ambidextre,Défenseur,184.5,68.2,20.0,Elite,1.0
176,Bailey,Diana,2010-02-03,Kl6167,2021-02-16,Droit,Défenseur,173.2,69.9,23.3,Cadet B,3.1
115,Vaughan,Matthew,2005-10-15,mT5316,2024-03-18,Droit,Défenseur,180.8,71.7,21.9,Elite,4.2
98,Hernandez,Shannon,2005-11-15,jY1714,2023-08-04,Ambidextre,Milieu,193.3,87.3,23.4,Elite,2.8
879,Beck,Kimberly,2006-10-17,QZ6326,2022-11-23,Ambidextre,Attaquant,175.5,70.0,22.7,Junior,1.9
666,Moses,Tamara,2007-03-28,RJ2392,2024-12-05,Gauche,Défenseur,168.3,63.8,22.5,Cadet A,3.2
445,Quinn,Alec,2007-12-22,hi4690,2022-12-01,Ambidextre,Milieu,170.2,68.7,23.7,Cadet A,4.1
164,Walters,Kristin,2009-02-15,MY4017,2023-01-15,Gauche,Milieu,174.0,74.5,24.6,Junior,1.2
242,Bullock,Jo,2006-06-24,FF3021,2023-04-11,Droit,Milieu,170.6,83.2,28.6,Junior,4.4
527,Short,Cameron,2005-02-01,Pv7686,2023-06-28,Droit,Attaquant,175.2,83.9,27.3,Elite,4.1
906,Flynn,Jamie,2009-09-05,MU2193,2023-02-17,Gauche,Milieu,170.4,62.1,21.4,Minime A,1.4
469,Clark,Andrea,2009-10-06,bt9194,2023-02-10,Droit,Milieu,171.7,53.0,18.0,Minime A,1.2
646,Bond,Ronald,2004-08-04,Ng2980,2024-06-12,Droit,Milieu,189.8,76.7,21.3,Elite,1.8
261,Malone,Rhonda,2006-10-13,QP3060,2023-12-22,Ambidextre,Milieu,172.4,82.2,27.7,Junior,2.2
47,Gonzales,Jason,2010-12-13,Dy6619,2025-01-04,Ambidextre,Défenseur,164.0,57.3,21.3,Minime A,4.0
753,Jones,Jesse,2010-08-10,pG7154,2024-05-13,Ambidextre,Défenseur,165.2,59.9,21.9,Minime B,1.0
793,Sweeney,Ashley,2004-05-20,ef7633,2022-07-10,Ambidextre,Attaquant,176.8,75.6,24.2,Elite,2.5
826,Bauer,Amanda,2010-11-07,Wq5717,2024-11-07,Droit,Attaquant,154.1,53.3,22.4,Minime B,4.0
229,Elliott,Benjamin,2007-11-14,at4501,2022-12-12,Ambidextre,Attaquant,166.6,72.9,26.3,Elite,2.2
811,Erickson,Deanna,2009-03-07,SZ4190,2024-03-02,Gauche,Défenseur,172.7,58.0,19.4,Junior,2.7
269,Long,Phillip,2007-03-12,DF6609,2022-03-04,Ambidextre,Attaquant,170.5,80.7,27.8,Elite,3.1
101,Spears,Melanie,2009-03-08,ZB4135,2022-11-25,Droit,Milieu,161.0,61.1,23.6,Cadet A,4.1
359,Martin,Michael,2007-06-15,Hv6197,2023-10-06,Ambidextre,Attaquant,184.3,70.3,20.7,Elite,3.7
11,Howell,Brenda,2010-08-13,ZC3569,2022-01-30,Ambidextre,Défenseur,165.5,47.2,17.2,Minime B,4.6
461,Lewis,David,2005-02-05,xX4177,2024-06-06,Gauche,Défenseur,185.4,77.4,22.5,Elite,1.6
802,Jones,Renee,2008-11-05,tY7209,2025-03-10,Ambidextre,Milieu,171.3,62.7,21.4,Cadet A,4.2
871,Thomas,Erika,2010-01-03,nu9613,2023-07-03,Gauche,Défenseur,163.5,67.7,25.3,Minime A,1.0
561,Knox,Andrew,2009-12-28,KJ4836,2023-07-05,Ambidextre,Milieu,171.3,54.6,18.6,Minime A,1.6
931,Booker,Darren,2007-12-07,ER8809,2020-12-23,Ambidextre,Attaquant,180.6,69.3,21.2,Junior,1.4
376,Stevenson,Kimberly,2007-01-11,Ut0736,2022-05-08,Gauche,Milieu,188.3,82.4,23.2,Junior,3.3
529,Wood,Kimberly,2008-11-04,fB6178,2021-07-28,Gauche,Défenseur,166.1,67.5,24.5,Cadet B,1.1
680,Nelson,Bradley,2008-09-04,iv1909,2021-01-17,Ambidextre,Défenseur,173.3,55.1,18.3,Junior,2.4
833,Jones,Taylor,2009-04-05,aD1488,2021-07-21,Gauche,Attaquant,164.8,64.9,23.9,Cadet B,2.9
657,Hunter,Andre,2010-09-03,fD9444,2022-08-14,Gauche,Défenseur,168.1,53.5,18.9,Minime A,4.5
571,Ross,Stephanie,2010-03-21,Dy9458,2021-06-01,Ambidextre,Défenseur,166.3,51.4,18.6,Cadet B,3.4
832,Hunt,James,2008-12-20,Jl9234,2022-12-03,Droit,Milieu,167.3,55.4,19.8,Junior,4.9
215,Salazar,Maureen,2010-07-03,Ip8519,2024-12-18,Gauche,Attaquant,163.9,62.2,23.2,Minime B,3.2
757,Lee,Rachel,2008-04-23,BT2976,2021-04-07,Gauche,Milieu,170.5,65.8,22.6,Cadet A,4.8
884,Yang,Robert,2006-07-19,NJ7159,2021-03-17,Gauche,Milieu,171.2,67.3,23.0,Junior,4.1
93,Weeks,Nathan,2008-05-28,Th1006,2023-08-30,Droit,Défenseur,179.5,63.6,19.7,Junior,3.1
476,Ramirez,Ryan,2008-09-29,IZ2574,2020-11-07,Droit,Attaquant,174.8,73.8,24.2,Cadet B,3.9
939,Fischer,Joshua,2009-02-08,pQ2719,2023-08-23,Ambidextre,Milieu,179.9,67.6,20.9,Cadet B,1.5
434,Jefferson,James,2009-01-08,eR0320,2024-09-09,Droit,Milieu,166.6,67.8,24.4,Cadet B,3.2
892,Smith,Douglas,2010-12-31,Gk0233,2023-04-23,Ambidextre,Défenseur,157.4,48.1,19.4,Minime B,1.8
348,Weaver,Matthew,2009-03-14,ri1804,2024-05-12,Gauche,Milieu,176.2,74.8,24.1,Cadet B,3.5
87,Romero,Johnny,2007-11-13,sT9015,2021-12-13,Gauche,Défenseur,170.3,71.0,24.5,Junior,1.7
942,Love,Michael,2008-07-02,AU3725,2023-01-03,Ambidextre,Attaquant,160.1,73.8,28.8,Cadet B,2.8
152,Fischer,Monique,2007-12-15,Uk8974,2020-05-14,Ambidextre,Milieu,172.7,79.8,26.8,Cadet A,4.8
748,Rowe,Jacob,2009-09-01,QG7996,2020-11-21,Ambidextre,Attaquant,174.9,68.1,22.3,Cadet B,4.3
56,Boyd,Eric,2006-08-12,iH2189,2022-10-20,Droit,Milieu,187.6,82.7,23.5,Junior,4.2
147,Vincent,John,2008-12-06,hM0324,2022-12-25,Droit,Défenseur,175.1,60.0,19.6,Cadet B,4.7
270,Kelly,John,2008-07-09,LF3814,2023-12-05,Ambidextre,Milieu,177.7,63.7,20.2,Cadet A,2.1
914,Fritz,Jason,2010-09-13,cf5711,2020-05-29,Droit,Défenseur,158.3,48.4,19.3,Minime B,1.0
393,Mccarthy,David,2008-05-02,VS3651,2021-04-15,Gauche,Milieu,175.7,70.0,22.7,Cadet A,2.4
825,King,Timothy,2010-02-07,cb4228,2020-04-24,Ambidextre,Attaquant,169.5,62.1,21.6,Cadet B,3.3
212,Nunez,Monica,2009-12-13,FS3731,2025-02-10,Droit,Milieu,160.5,64.3,25.0,Cadet B,3.0
756,Beck,Austin,2008-11-06,Cx4832,2021-03-27,Ambidextre,Attaquant,176.8,63.2,20.2,Cadet B,1.6
211,Williams,Jesse,2008-11-28,IK1829,2020-05-13,Droit,Milieu,163.5,59.7,22.3,Cadet B,2.8
827,Lucas,Brett,2008-08-23,nE9685,2021-07-29,Gauche,Milieu,163.6,64.8,24.2,Cadet B,4.4
124,Casey,James,2008-12-20,YH7172,2024-08-23,Droit,Défenseur,161.2,57.4,22.1,Cadet A,2.1
468,Sosa,Thomas,2009-10-26,jD7462,2020-06-11,Gauche,Milieu,166.5,60.4,21.8,Cadet B,3.5
341,Spencer,Garrett,2009-03-09,oy1186,2021-09-10,Gauche,Attaquant,175.8,67.0,21.7,Cadet A,4.9
974,Lara,Karen,2007-06-08,yY7335,2024-08-05,Droit,Défenseur,172.1,72.3,24.4,Cadet A,4.3
439,Wright,Julie,2008-04-10,Su8288,2022-06-22,Droit,Milieu,176.4,56.1,18.0,Cadet A,4.5
818,Schmidt,Jeffrey,2008-04-04,pD9510,2021-01-20,Gauche,Milieu,178.7,73.7,23.1,Cadet A,1.6
688,Murphy,Richard,2007-06-03,ri9083,2023-07-13,Droit,Défenseur,168.5,77.4,27.3,Cadet A,3.1
807,Greer,Andrew,2008-12-03,Gy0536,2021-05-08,Ambidextre,Défenseur,166.2,64.8,23.5,Cadet A,1.2
180,Osborn,Brian,2010-10-20,Qy8153,2025-03-17,Ambidextre,Défenseur,167.6,61.7,22.0,Minime B,1.4
607,Brown,Todd,2011-02-27,WS6390,2023-02-18,Droit,Milieu,161.8,53.9,20.6,Minime B,2.8
895,Johnson,Emma,2008-04-05,NH6265,2023-09-17,Gauche,Milieu,169.0,56.7,19.9,Cadet A,4.2
678,Walsh,Gregory,2007-04-05,wO0876,2020-07-04,Droit,Milieu,175.9,64.4,20.8,Cadet A,1.2
107,Nunez,Jose,2010-06-08,xq3317,2024-12-24,Droit,Défenseur,167.4,53.1,18.9,Minime B,2.6
32,Shaw,Timothy,2008-05-08,gQ8513,2020-12-24,Ambidextre,Milieu,167.2,55.4,19.8,Cadet A,4.4
881,Pope,Michael,2007-12-04,rF1128,2020-07-08,Droit,Défenseur,173.9,60.1,19.9,Cadet A,3.5
600,Castaneda,Meghan,2007-08-27,Vl1195,2024-03-12,Gauche,Milieu,180.4,69.9,21.5,Cadet A,1.2
836,Hughes,Jennifer,2010-07-04,Jz0018,2022-09-28,Gauche,Attaquant,151.8,62.1,26.9,Minime B,2.6
88,Hill,Gerald,2010-09-25,Cy4405,2021-07-20,Ambidextre,Attaquant,150.5,58.8,26.0,Minime B,1.4
285,Pham,Carolyn,2009-03-06,xz2061,2021-01-02,Droit,Attaquant,163.5,57.9,21.7,Cadet A,2.6
718,Robinson,Nathan,2010-05-09,tO8117,2022-10-13,Droit,Attaquant,155.0,59.0,24.6,Minime B,4.4
